year,coal,gas,petroleum,population,Average_Temperature,Max_Temperature,Min_Temperature
1960,24974,2815483,1536057,9579677,17.8,27.627,6.503
1961,18203,2831993,1555772,9741382.3,17.71,26.529,5.759
1962,20582,2959563,1633869,9903087.6,18.63,28.792,4.99
1963,19173,3044428,1812971,10064792.9,18.66,28.788,4.485
1964,26232,3040492,1933568,10226498.2,18.35,29.027,6.972
1965,29182,3181456,1963246,10388203.5,18.56,28.403,8.194
1966,27844,3404262,2078723,10549908.8,17.7,28.988,4.959
1967,23523,3638596,2175645,10711614.1,18.44,27.583,7.665
1968,24996,3836859,2346123,10873319.4,17.49,27.271,7.266
1969,25141,4024717,2540573,11035024.7,18.27,29.618,9.635
1970,30767,4203877,2610292,11196730,17.84,28.103,5.695
1971,24048,4482576,2672581,11499976.1,18.49,27.983,9.562
1972,50140,4531777,2995419,11803222.2,18.24,26.852,6.953
1973,125909,4746155,3295589,12106468.3,17.82,27.268,5.301
1974,133141,4584002,3312660,12409714.4,18.28,28.101,7.691
1975,196172,4046930,3220686,12712960.5,17.88,26.936,8.95
1976,226342,4074690,3481271,13016206.6,17.35,26.955,7.139
1977,288187,4254885,3885371,13319452.7,18.69,28.645,3.969
1978,418438,4329773,4145601,13622698.8,17.88,29.487,3.769
1979,587642,4131399,4561419,13925944.9,17.4,28,3.183
1980,734145,4226105,4452073,14229191,18.55,30.329,8.494
1981,858514,4052341,4267720,14504922.9,18.54,28.344,7.877
1982,931065,3503024,4020489,14780654.8,18.34,28.725,7.959
1983,1016758,3335505,3995613,15056386.7,17.63,28.483,3.613
1984,1074868,3556196,4198364,15332118.6,18.38,27.91,5.443
1985,1148998,3514363,4191428,15607850.5,18.17,28.823,4.699
1986,1162745,3312909,4323366,15883582.4,18.79,28.547,7.709
1987,1203925,3435408,4370450,16159314.3,17.86,28.198,7.175
1988,1264113,3665182,4620740,16435046.2,18.15,28.127,5.62
1989,1335906,3886107,4651246,16710778.1,18.1,27.861,4.294
1990,1333671,3876543,4758496,16986510,18.83,28.918,7.711
1991,1333449,3823075,4782851,17373041,18.38,27.5,6.346
1992,1324063,3768323,4986280,17759572,18.15,27.736,7.417
1993,1430676,3925163,4927256,18146103,17.98,28.739,7.444
1994,1389409,3885072,5149512,18532634,18.8,28.558,8.055
1995,1364800,4037538,5121472,18919165,18.61,28.488,8.8
1996,1485577,4268665,5497675,19305696,18.7,28.958,7.659
1997,1523201,4231566,5863047,19692227,17.9,28.491,7.063
1998,1488589,4377957,5934436,20078758,19.61,30.463,8.978
1999,1530426,4138068,5842281,20465289,19.38,29.36,9.213
2000,1548184,4550106,5767121,20851820,19.24,29.292,5.651
2001,1492977,4382935,5773604,21274049.67,18.83,29.721,6.529
2002,1550325,4444506,5924903,21696279.33,18.5,28.56,8.458
2003,1603971,4177143,5978967,22118509,18.76,28.594,7.842
2004,1626029,4039787,6161669,22550945,18.58,27.353,8.51
2005,1627863,3621139,5987815,22983381,18.95,28.315,8.425
2006,1610301,3544789,6086196,23415817,19.59,28.901,8.874
2007,1609155,3626526,5917140,23848253,18.34,28.031,5.734
2008,1605925,3653462,5245208,24280689,18.71,28.459,7.674
2009,1497854,3481133,5065515,24713125,18.83,29.159,6.09
2010,1568060,3689581,5472213,25145561,18.5,29.393,6.609
2011,1695239,3800578,5458850,25646227,19.72,31.401,7.121
2012,1498818,3964124,5602761,26089620,19.93,28.942,10.127
2013,1597357,4131226,5947064,26489464,20.43,28.663,8.671
