Year,Month,Av Temp,Max Temp,Min Temp,,,
1960,Jan,44.1,54.6,33.6,,,
1960,Feb,43.7,56.1,31.3,,,
1960,Mar,50.6,62.8,38.4,,,
1960,Apr,66.6,79.9,53.2,,,
1960,May,71.5,85,58,,,
1960,Jun,81.2,94.3,68.1,,,
1960,Jul,81.7,93.4,70.1,,,
1960,Aug,81.2,92.4,69.9,,,
1960,Sep,76.2,89.4,63,,,
1960,Oct,68.1,79.8,56.3,,,
1960,Nov,56.1,68.2,44.1,,,
1960,Dec,42.9,52.6,33.3,,,
1961,Jan,41.4,53.4,29.5,,,
1961,Feb,49.6,62.4,36.8,,,
1961,Mar,57.9,71,44.7,,,
1961,Apr,63.7,78,49.4,,,
1961,May,73.4,86.6,60.3,,,
1961,Jun,77.6,89,66.2,,,
1961,Jul,79.6,90.8,68.5,,,
1961,Aug,79.4,92.1,66.7,,,
1961,Sep,75.1,86.6,63.5,,,
1961,Oct,65.7,79.1,52.3,,,
1961,Nov,51.3,62.1,40.5,,,
1961,Dec,46.6,58.2,35,,,
1962,Jan,40.1,53.6,26.6,,,
1962,Feb,55.7,70.5,40.8,,,
1962,Mar,53,66.5,39.5,,,
1962,Apr,64.6,77.2,52.1,,,
1962,May,75.6,88.8,62.5,,,
1962,Jun,78.4,90.2,66.6,,,
1962,Jul,82.9,95.1,70.6,,,
1962,Aug,83.8,97.8,69.7,,,
1962,Sep,76.5,87.8,65,,,
1962,Oct,69.4,81.4,57.3,,,
1962,Nov,54.9,67,42.7,,,
1962,Dec,46.8,58.1,35.5,,,
1963,Jan,39.2,53.3,25.2,,,
1963,Feb,47.7,62.5,32.8,,,
1963,Mar,59.2,73.4,45,,,
1963,Apr,70,82.9,57,,,
1963,May,74.4,86.7,62.2,,,
1963,Jun,80.1,92,68.1,,,
1963,Jul,83.8,96,71.5,,,
1963,Aug,83.2,96,70.3,,,
1963,Sep,77.1,89.4,64.9,,,
1963,Oct,70.3,84.5,56.1,,,
1963,Nov,56.7,69.6,43.8,,,
1963,Dec,40.7,52.2,29.3,,,
1964,Jan,44.6,58.5,30.7,,,
1964,Feb,43.8,56.3,31.4,,,
1964,Mar,55.2,69,41.3,,,
1964,Apr,67,79.9,54,,,
1964,May,74.4,86.5,62.3,,,
1964,Jun,79.5,91.8,67.2,,,
1964,Jul,84.2,97.2,71.2,,,
1964,Aug,83.4,95.7,71.2,,,
1964,Sep,75.8,86.4,65.1,,,
1964,Oct,63.9,77.8,50,,,
1964,Nov,57,69.2,44.8,,,
1964,Dec,47.3,59.7,34.9,,,
1965,Jan,49.2,62.1,36.2,,,
1965,Feb,46.2,58.4,34.1,,,
1965,Mar,49.5,61.7,37.2,,,
1965,Apr,68.2,80.8,55.6,,,
1965,May,72.9,83.2,62.5,,,
1965,Jun,78.8,89.9,67.6,,,
1965,Jul,83,95.7,70.4,,,
1965,Aug,80.9,93.4,68.4,,,
1965,Sep,76.8,88.8,64.6,,,
1965,Oct,64.3,77.5,51,,,
1965,Nov,60.7,72.7,48.6,,,
1965,Dec,50.6,61.5,39.7,,,
1966,Jan,40.3,51.2,29.5,,,
1966,Feb,44.8,56.9,32.6,,,
1966,Mar,56.7,69.8,43.6,,,
1966,Apr,64.8,77.4,52.2,,,
1966,May,71.6,82.8,60.3,,,
1966,Jun,78.1,89.7,66.5,,,
1966,Jul,84,95.9,72.1,,,
1966,Aug,79.5,90.4,68.7,,,
1966,Sep,74.4,85.4,63.4,,,
1966,Oct,63.5,77.3,49.6,,,
1966,Nov,58.6,72.3,44.9,,,
1966,Dec,45.5,59.4,31.6,,,
1967,Jan,46.5,60.8,32.2,,,
1967,Feb,48.2,62.1,34.2,,,
1967,Mar,62,76.2,47.8,,,
1967,Apr,70.6,82.4,58.8,,,
1967,May,71.9,85.5,58.3,,,
1967,Jun,80.3,92.2,68.4,,,
1967,Jul,81.6,93.4,69.7,,,
1967,Aug,79.6,92,67.1,,,
1967,Sep,72.3,83.2,61.5,,,
1967,Oct,64.9,78.9,50.8,,,
1967,Nov,55.3,67.1,43.5,,,
1967,Dec,45.3,56.5,34.1,,,
1968,Jan,44.5,53.9,35.1,,,
1968,Feb,45.1,56.7,33.6,,,
1968,Mar,53.6,64.7,42.5,,,
1968,Apr,63.7,75.3,52.1,,,
1968,May,71.7,83.2,60.2,,,
1968,Jun,78.4,89.8,66.9,,,
1968,Jul,79.7,90.7,68.8,,,
1968,Aug,80.8,92.6,69,,,
1968,Sep,73.1,85.6,60.5,,,
1968,Oct,67.4,80.8,54.1,,,
1968,Nov,52.9,65.2,40.5,,,
1968,Dec,46.4,59.8,33,,,
1969,Jan,48.9,61,36.7,,,
1969,Feb,49.6,61,38.1,,,
1969,Mar,49,60.5,37.5,,,
1969,Apr,65.8,78.1,53.4,,,
1969,May,71.3,83.3,59.2,,,
1969,Jun,79.1,91.4,66.8,,,
1969,Jul,85.1,97.8,72.4,,,
1969,Aug,83.1,95.8,70.5,,,
1969,Sep,75.6,87,64.2,,,
1969,Oct,64.4,75.6,53.3,,,
1969,Nov,53.4,66.5,40.3,,,
1969,Dec,49.1,61.4,36.7,,,
1970,Jan,41.8,53.6,29.9,,,
1970,Feb,49.5,61.9,37.2,,,
1970,Mar,51.7,63.6,39.9,,,
1970,Apr,65.3,77.7,52.8,,,
1970,May,70.7,83.6,57.8,,,
1970,Jun,77.8,89.8,65.7,,,
1970,Jul,81.9,94.2,69.6,,,
1970,Aug,82.3,95.1,69.5,,,
1970,Sep,75.7,86.5,65,,,
1970,Oct,62.3,74.5,50,,,
1970,Nov,52.6,67.3,38,,,
1970,Dec,53.2,66.4,39.9,,,
1971,Jan,48.8,63.2,34.4,,,
1971,Feb,49.7,64,35.5,,,
1971,Mar,56.8,72.3,41.2,,,
1971,Apr,64.2,77.9,50.6,,,
1971,May,72.3,85.4,59.2,,,
1971,Jun,80.3,92.2,68.3,,,
1971,Jul,82.2,94.4,70,,,
1971,Aug,77.1,87.4,66.8,,,
1971,Sep,74.4,85.1,63.8,,,
1971,Oct,66.8,77.7,55.9,,,
1971,Nov,55.9,68.2,43.6,,,
1971,Dec,50.6,61.1,40.2,,,
1972,Jan,47.1,60.6,33.6,,,
1972,Feb,50.6,65.1,36.1,,,
1972,Mar,61.1,75.5,46.8,,,
1972,Apr,68.8,82.8,54.7,,,
1972,May,71,82.9,59.1,,,
1972,Jun,79.1,91.2,67.1,,,
1972,Jul,80,91.4,68.7,,,
1972,Aug,79.4,90.9,67.9,,,
1972,Sep,77.2,88.4,66,,,
1972,Oct,66,77.9,54.1,,,
1972,Nov,48.8,59.7,37.8,,,
1972,Dec,44.1,56.9,31.3,,,
1973,Jan,41,51.7,30.3,,,
1973,Feb,46.4,57.8,35,,,
1973,Mar,58,70,46,,,
1973,Apr,60.1,71.8,48.3,,,
1973,May,70.8,84.2,57.5,,,
1973,Jun,77.4,89.2,65.6,,,
1973,Jul,80.8,92.1,69.6,,,
1973,Aug,79.7,92.1,67.3,,,
1973,Sep,75.1,85.8,64.2,,,
1973,Oct,67.5,79.8,55.2,,,
1973,Nov,59.9,72.6,47.2,,,
1973,Dec,47.9,63,32.7,,,
