Total consumption natural gas Texas all sectors monthly
https://www.eia.gov/opendata/qb.php?category=432&sdid=ELEC.CONS_TOT.NG-TX-99.M
09:03:41 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.CONS_TOT.NG-TX-99.M thousand Mcf
Aug 2019,259558.828
Jul 2019,231475.596
Jun 2019,199738.84
May 2019,177548.586
Apr 2019,136036.161
Mar 2019,145392.482
Feb 2019,135302.694
Jan 2019,164538.439
Dec 2018,152711.229
Nov 2018,145459.215
Oct 2018,165499.401
Sep 2018,191726.775
Aug 2018,231724.319
Jul 2018,251921.472
Jun 2018,201589.135
May 2018,189187.177
Apr 2018,136464.138
Mar 2018,145257.894
Feb 2018,141260.871
Jan 2018,163398.558
Dec 2017,149953.598
Nov 2017,120393.267
Oct 2017,141429.63
Sep 2017,156749.059
Aug 2017,207543.187
Jul 2017,226095.756
Jun 2017,185166.183
May 2017,145610.379
Apr 2017,129717.583
Mar 2017,128899.411
Feb 2017,109181.755
Jan 2017,123126.984
Dec 2016,126416.047
Nov 2016,131583.915
Oct 2016,147810.532
Sep 2016,182725.244
Aug 2016,215519.692
Jul 2016,212148.523
Jun 2016,190157.045
May 2016,169867.551
Apr 2016,153494.495
Mar 2016,158806.572
Feb 2016,139696.705
Jan 2016,159813.173
Dec 2015,161535.702
Nov 2015,146044.649
Oct 2015,165453.089
Sep 2015,188111.906
Aug 2015,226342.869
Jul 2015,220927.104
Jun 2015,183039.181
May 2015,159758.566
Apr 2015,153342.924
Mar 2015,164553.15
Feb 2015,148661.467
Jan 2015,167285.253
Dec 2014,145960.732
Nov 2014,137388.946
Oct 2014,153476.249
Sep 2014,172001.345
Aug 2014,212546.465
Jul 2014,192000.301
Jun 2014,168598.344
May 2014,147653.282
Apr 2014,134850.26
Mar 2014,131353.754
Feb 2014,127621.55
Jan 2014,145138.548
Dec 2013,154176.641
Nov 2013,142325.595
Oct 2013,146369.988
Sep 2013,182178.589
Aug 2013,215339.655
Jul 2013,194015.427
Jun 2013,176589.893
May 2013,145338.938
Apr 2013,134004.35
Mar 2013,127494.639
Feb 2013,116614.038
Jan 2013,144621.08
Dec 2012,133368.344
Nov 2012,125259.432
Oct 2012,135786.759
Sep 2012,170072.849
Aug 2012,219262.509
Jul 2012,213003.676
Jun 2012,197355.846
May 2012,178252.115
Apr 2012,167470.254
Mar 2012,148366.394
Feb 2012,133211.788
Jan 2012,145436.653
Dec 2011,145913.199
Nov 2011,124548.309
Oct 2011,133994.911
Sep 2011,172803.871
Aug 2011,245738.137
Jul 2011,228326.067
Jun 2011,188810.643
May 2011,149383.324
Apr 2011,139317.669
Mar 2011,111647.368
Feb 2011,124031.019
Jan 2011,134022.742
Dec 2010,119382.902
Nov 2010,113608.749
Oct 2010,124740.346
Sep 2010,160425.402
Aug 2010,220037.948
Jul 2010,186688.095
Jun 2010,177088.366
May 2010,152036.216
Apr 2010,127652.304
Mar 2010,112044.727
Feb 2010,131651.576
Jan 2010,144004.848
Dec 2009,137299.491
Nov 2009,106424.149
Oct 2009,134232.551
Sep 2009,161923.018
Aug 2009,216512.492
Jul 2009,215041.246
Jun 2009,197308.733
May 2009,150252.989
Apr 2009,115913.667
Mar 2009,130732.132
Feb 2009,102114.114
Jan 2009,122806.99
Dec 2008,119302.947
Nov 2008,109854.457
Oct 2008,136520.174
Sep 2008,139008.442
Aug 2008,207169.617
Jul 2008,210383.995
Jun 2008,195924.335
May 2008,164601.809
Apr 2008,135657.413
Mar 2008,139496.029
Feb 2008,121331.536
Jan 2008,141100.126
Dec 2007,132632.432
Nov 2007,128223.653
Oct 2007,157392.807
Sep 2007,181752.908
Aug 2007,221716.849
Jul 2007,183174.617
Jun 2007,173633.792
May 2007,152137.215
Apr 2007,141247.367
Mar 2007,145635.644
Feb 2007,126608.049
Jan 2007,157890.016
Dec 2006,133554.32115
Nov 2006,122874.37239
Oct 2006,154347.40335
Sep 2006,165811.26349
Aug 2006,235165.78102
Jul 2006,216318.15724
Jun 2006,196780.43324
May 2006,173803.01044
Apr 2006,149886.25711
Mar 2006,134214.80412
Feb 2006,120625.11212
Jan 2006,116001.5168
Dec 2005,135610.86691
Nov 2005,127524.56311
Oct 2005,152464.68941
Sep 2005,185417.3755
Aug 2005,222711.98156
Jul 2005,218340.16089
Jun 2005,199551.98512
May 2005,153684.88566
