year,coal,gas,petroleum,population
1960,24974,2815483,1536057,9579677
1961,18203,2831993,1555772,9741382.3
1962,20582,2959563,1633869,9903087.6
1963,19173,3044428,1812971,10064792.9
1964,26232,3040492,1933568,10226498.2
1965,29182,3181456,1963246,10388203.5
1966,27844,3404262,2078723,10549908.8
1967,23523,3638596,2175645,10711614.1
1968,24996,3836859,2346123,10873319.4
1969,25141,4024717,2540573,11035024.7
1970,30767,4203877,2610292,11196730
1971,24048,4482576,2672581,11499976.1
1972,50140,4531777,2995419,11803222.2
1973,125909,4746155,3295589,12106468.3
1974,133141,4584002,3312660,12409714.4
1975,196172,4046930,3220686,12712960.5
1976,226342,4074690,3481271,13016206.6
1977,288187,4254885,3885371,13319452.7
1978,418438,4329773,4145601,13622698.8
1979,587642,4131399,4561419,13925944.9
1980,734145,4226105,4452073,14229191
1981,858514,4052341,4267720,14504922.9
1982,931065,3503024,4020489,14780654.8
1983,1016758,3335505,3995613,15056386.7
1984,1074868,3556196,4198364,15332118.6
1985,1148998,3514363,4191428,15607850.5
1986,1162745,3312909,4323366,15883582.4
1987,1203925,3435408,4370450,16159314.3
1988,1264113,3665182,4620740,16435046.2
1989,1335906,3886107,4651246,16710778.1
1990,1333671,3876543,4758496,16986510
1991,1333449,3823075,4782851,17373041
1992,1324063,3768323,4986280,17759572
1993,1430676,3925163,4927256,18146103
1994,1389409,3885072,5149512,18532634
1995,1364800,4037538,5121472,18919165
1996,1485577,4268665,5497675,19305696
1997,1523201,4231566,5863047,19692227
1998,1488589,4377957,5934436,20078758
1999,1530426,4138068,5842281,20465289
2000,1548184,4550106,5767121,20851820
2001,1492977,4382935,5773604,21274049.67
2002,1550325,4444506,5924903,21696279.33
2003,1603971,4177143,5978967,22118509
2004,1626029,4039787,6161669,22550945
2005,1627863,3621139,5987815,22983381
2006,1610301,3544789,6086196,23415817
2007,1609155,3626526,5917140,23848253
2008,1605925,3653462,5245208,24280689
2009,1497854,3481133,5065515,24713125
2010,1568060,3689581,5472213,25145561
2011,1695239,3800578,5458850,25646227
2012,1498818,3964124,5602761,26089620
2013,1597357,4131226,5947064,26489464
2014,1585961,4060592,5937608,26977142
2015,1340422,4263860,6180628,27486814
2016,1323111,4151063,6324218,27937492
2017,1451978,3994212,6513162,28322717
