year,population
1960,9579677
1961,9741382.3
1962,9903087.6
1963,10064792.9
1964,10226498.2
1965,10388203.5
1966,10549908.8
1967,10711614.1
1968,10873319.4
1969,11035024.7
1970,11196730
1971,11499976.1
1972,11803222.2
1973,12106468.3
1974,12409714.4
1975,12712960.5
1976,13016206.6
1977,13319452.7
1978,13622698.8
1979,13925944.9
1980,14229191
1981,14504922.9
1982,14780654.8
1983,15056386.7
1984,15332118.6
1985,15607850.5
1986,15883582.4
1987,16159314.3
1988,16435046.2
1989,16710778.1
1990,16986510
1991,17373041
1992,17759572
1993,18146103
1994,18532634
1995,18919165
1996,19305696
1997,19692227
1998,20078758
1999,20465289
2000,20851820
2001,21274049.67
2002,21696279.33
2003,22118509
2004,22550945
2005,22983381
2006,23415817
2007,23848253
2008,24280689
2009,24713125
2010,25145561
2011,25646227
2012,26089620
2013,26489464
2014,26977142
2015,27486814
2016,27937492
2017,28322717
2018,28701845
2019,29087070
