Total consumption petroleum liquids Texas all sectors monthly
https://www.eia.gov/opendata/qb.php?category=430&sdid=ELEC.CONS_TOT.PEL-TX-99.M
09:04:37 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.CONS_TOT.PEL-TX-99.M thousand barrels
Aug 2019,8.302
Jul 2019,6.699
Jun 2019,11.229
May 2019,16.416
Apr 2019,16.946
Mar 2019,13.744
Feb 2019,12.207
Jan 2019,10.217
Dec 2018,9.93
Nov 2018,15.142
Oct 2018,8.295
Sep 2018,9.558
Aug 2018,9.114
Jul 2018,10.613
Jun 2018,17.617
May 2018,17.378
Apr 2018,21.387
Mar 2018,9.608
Feb 2018,8.856
Jan 2018,18.747
Dec 2017,13.169
Nov 2017,14.709
Oct 2017,12.598
Sep 2017,10.621
Aug 2017,17.505
Jul 2017,13.813
Jun 2017,9.72
May 2017,19.317
Apr 2017,12.022
Mar 2017,14.288
Feb 2017,12.256
Jan 2017,10.064
Dec 2016,19.01
Nov 2016,14.499
Oct 2016,10.937
Sep 2016,12.959
Aug 2016,14.753
Jul 2016,9.797
Jun 2016,11.652
May 2016,28.189
Apr 2016,19.522
Mar 2016,15.302
Feb 2016,13.326
Jan 2016,11.321
Dec 2015,17.823
Nov 2015,7.92
Oct 2015,19.752
Sep 2015,16.068
Aug 2015,15.309
Jul 2015,18.245
Jun 2015,21.807
May 2015,36.392
Apr 2015,17.276
Mar 2015,22.701
Feb 2015,19.462
Jan 2015,15.925
Dec 2014,16.865
Nov 2014,15.538
Oct 2014,13.819
Sep 2014,22.946
Aug 2014,11.675
Jul 2014,10.566
Jun 2014,22.852
May 2014,16.594
Apr 2014,9.33
Mar 2014,27.551
Feb 2014,40.691
Jan 2014,13.483
Dec 2013,39.028
Nov 2013,15.281
Oct 2013,15.363
Sep 2013,11.977
Aug 2013,9.567
Jul 2013,8.804
Jun 2013,13.085
May 2013,19.805
Apr 2013,19.384
Mar 2013,12.579
Feb 2013,13.655
Jan 2013,25.404
Dec 2012,14.519
Nov 2012,12.85
Oct 2012,15.239
Sep 2012,16.887
Aug 2012,17.185
Jul 2012,15.627
Jun 2012,53.8
May 2012,67.608
Apr 2012,27.05
Mar 2012,12.841
Feb 2012,11.631
Jan 2012,15.191
Dec 2011,23.486
Nov 2011,9.166
Oct 2011,22.053
Sep 2011,12.548
Aug 2011,8.385
Jul 2011,10.471
Jun 2011,12.696
May 2011,8.991
Apr 2011,11.553
Mar 2011,18.87
Feb 2011,141.807
Jan 2011,9.452
Dec 2010,12.408
Nov 2010,20.74
Oct 2010,8.069
Sep 2010,10.449
Aug 2010,13.056
Jul 2010,10.553
Jun 2010,14.079
May 2010,16.735
Apr 2010,29.821
Mar 2010,16.225
Feb 2010,18.183
Jan 2010,80.264
Dec 2009,27.873
Nov 2009,21.411
Oct 2009,14.772
Sep 2009,11.322
Aug 2009,8.606
Jul 2009,8.043
Jun 2009,16.453
May 2009,30.671
Apr 2009,30.327
Mar 2009,37.316
Feb 2009,36.704
Jan 2009,48.831
Dec 2008,19.767
Nov 2008,17.846
Oct 2008,14.195
Sep 2008,8.208
Aug 2008,7.385
Jul 2008,16.596
Jun 2008,23.384
May 2008,21.939
Apr 2008,21.6
Mar 2008,11.734
Feb 2008,37.577
Jan 2008,40.434
Dec 2007,14.597
Nov 2007,21.838
Oct 2007,36.222
Sep 2007,31.757
Aug 2007,38.446
Jul 2007,37.543
Jun 2007,50.407
May 2007,53.071
Apr 2007,48.683
Mar 2007,55.782
Feb 2007,70.177
Jan 2007,182.219
Dec 2006,64.20299
Nov 2006,51.05107
Oct 2006,60.17668
Sep 2006,42.70861
Aug 2006,59.78748
Jul 2006,70.62612
Jun 2006,65.32888
May 2006,88.03888
Apr 2006,41.01686
Mar 2006,36.36947
Feb 2006,67.17149
Jan 2006,46.03355
Dec 2005,59.17237
Nov 2005,27.84749
Oct 2005,68.08477
Sep 2005,104.16105
Aug 2005,81.23979
Jul 2005,68.21079
Jun 2005,48.68455
May 2005,53.83897
Apr 2005,50.10829
Mar 2005,42.64088
Feb 2005,56.6817
Jan 2005,69.51841
Dec 2004,235.0746
Nov 2004,106.72558
Oct 2004,112.09593
Sep 2004,107.39832
Aug 2004,97.99886
Jul 2004,82.23118
Jun 2004,103.38416
May 2004,72.58437
Apr 2004,92.5305
Mar 2004,83.06406
Feb 2004,91.16452
Jan 2004,124.68612
Dec 2003,233.283
Nov 2003,53.426
Oct 2003,61.905
Sep 2003,56.311
Aug 2003,62.17
Jul 2003,405.733
Jun 2003,634.307
May 2003,470.316
Apr 2003,108.747
Mar 2003,409.47
Feb 2003,749.35
Jan 2003,145.092
Dec 2002,67.793
Nov 2002,59.89
Oct 2002,49.316
Sep 2002,44.8
Aug 2002,47.254
Jul 2002,37.325
Jun 2002,32.536
May 2002,31.867
Apr 2002,56.434
Mar 2002,198.907
Feb 2002,131.091
Jan 2002,37.122
Dec 2001,33.846
Nov 2001,89.692
Oct 2001,35.783
Sep 2001,17.615
Aug 2001,34.644
Jul 2001,27.77
Jun 2001,32.646
May 2001,65.535
Apr 2001,139.903
Mar 2001,257.67
Feb 2001,486.212
Jan 2001,2583.823
